CustomerID,Age,AnnualIncome,SpendingScore,Cluster
1,56,49674,11,2
2,69,50854,45,2
3,46,61271,89,4
4,32,88688,33,0
5,60,53518,41,2
6,25,25267,8,1
7,38,105825,11,3
8,56,16062,86,1
9,36,65448,51,4
10,40,110462,88,3
11,28,21229,41,1
12,28,71793,17,4
13,41,62915,76,4
14,53,19632,46,1
15,57,119592,32,3
16,41,18596,79,1
17,20,21168,80,1
18,39,22561,54,1
19,19,88794,86,0
20,41,97152,92,0
21,61,41734,20,2
22,47,21371,33,1
23,55,41069,74,2
24,19,94905,40,0
25,38,27910,32,1
26,50,88479,97,0
27,29,92735,2,0
28,39,96264,97,0
29,61,38275,33,2
30,42,87274,77,0
31,66,96449,30,0
32,44,115776,33,3
33,59,75004,77,4
34,45,77981,26,4
35,33,99659,22,0
36,32,69553,66,4
37,64,63447,38,4
38,68,49529,90,2
39,61,90703,46,0
40,69,91090,15,0
41,20,32260,98,1
42,54,18812,44,1
43,68,43024,49,2
44,24,73656,75,4
45,38,42285,61,2
46,26,107436,67,3
47,56,16605,6,1
48,35,86158,9,0
49,21,87303,6,0
50,42,42139,73,2
51,31,92149,95,0
52,67,71138,32,4
53,26,91125,41,0
54,43,28918,76,1
55,19,100655,8,3
56,37,42446,72,2
57,45,28046,50,1
58,64,39818,92,2
59,24,115894,62,3
60,61,19324,84,1
61,25,91323,62,0
62,64,24111,7,1
63,52,53110,75,2
64,31,31389,84,1
65,34,56427,80,2
66,53,94579,4,0
67,67,43746,6,2
68,57,102886,58,3
69,21,15117,22,1
70,19,99471,26,0
71,23,28234,3,1
72,59,118864,41,3
73,21,68441,60,4
74,46,15846,14,1
75,35,25954,75,1
76,43,94239,82,0
77,61,61514,12,4
78,51,103236,87,3
79,27,112579,12,3
80,53,21469,13,1
81,31,45105,25,2
82,48,57101,45,2
83,65,79323,19,4
84,32,106922,55,3
85,25,73067,100,4
86,31,64376,45,4
87,40,60587,8,4
88,57,51976,93,2
89,38,119587,53,3
90,33,82584,55,0
91,62,119537,32,3
92,35,93477,51,0
93,64,57533,44,2
94,41,16828,82,1
95,43,16917,70,1
96,42,35618,18,1
97,62,47254,83,2
98,58,62362,22,4
99,46,35128,37,1
100,32,74383,96,4
101,62,80545,56,0
102,18,97180,59,0
103,42,102958,3,3
104,24,24865,28,1
105,26,17219,74,1
106,41,54809,35,2
107,18,20287,61,1
108,61,49387,93,2
109,25,23512,54,1
110,41,16342,63,1
111,28,78076,79,4
112,68,34216,97,1
113,34,108070,7,3
114,25,94767,76,0
115,52,112829,49,3
116,52,41614,94,2
117,50,51258,85,2
118,22,108789,31,3
119,59,57078,58,2
120,56,98524,61,0
121,58,111573,24,3
122,45,27219,20,1
123,24,15235,37,1
124,26,57929,4,2
125,25,82444,92,0
126,29,23567,20,1
127,51,116834,60,3
128,50,85792,24,0
129,65,80441,50,0
130,40,99555,49,0
131,41,88698,51,0
132,54,20415,96,1
133,52,51159,36,2
134,61,58925,98,4
135,57,20951,100,1
136,39,102388,66,3
137,44,23007,79,1
138,52,56832,34,2
139,18,73596,36,4
140,52,45523,6,2
141,54,103861,39,3
142,64,101740,42,3
143,31,30524,58,1
144,20,34282,12,1
145,18,38930,3,2
146,22,15077,18,1
147,43,35611,40,1
148,31,31984,21,1
149,56,29060,15,1
150,44,97985,97,0
151,26,99056,99,0
152,32,58303,26,4
153,32,74207,8,4
154,43,90046,100,0
155,59,44287,94,2
156,30,108709,87,3
157,68,54711,42,2
158,49,26954,44,1
159,56,88340,14,0
160,66,87101,78,0
161,69,86520,2,0
162,49,102062,37,3
163,21,117974,69,3
164,47,33574,38,1
165,54,24184,41,1
166,40,34096,62,1
167,56,82728,60,0
168,62,49016,14,2
169,32,26246,89,1
170,60,60558,84,4
171,46,33381,2,1
172,53,51455,70,2
173,30,107263,17,3
174,49,19018,89,1
175,24,26302,28,1
176,68,82506,66,0
177,39,56157,35,2
178,45,69917,5,4
179,19,107738,65,3
180,59,111646,40,3
181,62,98122,76,0
182,23,39519,56,2
183,45,111809,36,3
184,45,102487,45,3
185,61,71819,23,4
186,61,95910,47,0
187,37,86324,31,0
188,47,20408,11,1
189,28,74379,10,4
190,45,40053,67,2
191,42,24446,14,1
192,56,15922,80,1
193,50,113723,74,3
194,18,66356,93,4
195,44,25789,10,1
196,69,112720,76,3
197,30,81656,94,0
198,58,59028,1,4
199,20,79484,5,4
200,56,47154,20,2
201,23,97870,8,0
202,25,17336,43,1
203,44,118677,76,3
204,26,82779,1,0
205,54,34029,57,1
206,50,74201,64,4
207,68,47265,84,2
208,59,117916,28,3
209,61,58872,37,4
210,41,61197,47,4
211,32,70180,76,4
212,49,38710,37,2
213,49,44486,49,2
214,41,86907,44,0
215,58,86895,56,0
216,69,79435,28,4
217,66,55631,79,2
218,66,116532,6,3
219,69,35103,61,1
220,29,79772,20,0
221,56,29382,78,1
222,19,99291,2,0
223,20,116195,73,3
224,66,18756,37,1
225,54,35609,20,1
226,66,31478,26,1
227,34,115978,29,3
228,66,54666,1,2
229,19,90683,35,0
230,19,114097,70,3
231,45,115420,59,3
232,40,86315,69,0
233,54,92834,33,0
234,49,29153,51,1
235,50,91325,78,0
236,18,27999,12,1
237,36,70318,20,4
238,19,15814,53,1
239,61,91077,88,0
240,43,105474,43,3
241,49,17443,98,1
242,23,90993,89,0
243,49,90916,50,0
244,21,88319,29,0
245,28,32368,57,1
246,34,30328,39,1
247,55,71942,95,4
248,41,106751,56,3
249,22,114131,43,3
250,69,42306,50,2
251,51,100451,23,3
252,23,54915,44,2
253,39,52219,38,2
254,28,95879,84,0
255,65,79644,23,0
256,33,75279,45,4
257,50,68028,52,4
258,26,119263,80,3
259,23,15126,50,1
260,33,67329,8,4
261,46,42632,85,2
262,20,80310,1,0
263,37,70176,8,4
264,53,101066,29,3
265,36,59327,96,4
266,43,83904,5,0
267,20,18797,86,1
268,36,62882,47,4
269,37,28718,34,1
270,49,49560,65,2
271,24,91589,55,0
272,69,37116,90,2
273,58,51244,43,2
274,50,116721,74,3
275,57,16645,30,1
276,56,62523,82,4
277,35,34256,17,1
278,57,116376,26,3
279,18,115158,8,3
280,28,68173,47,4
281,45,52430,76,2
282,42,54282,91,2
283,67,78374,72,4
284,40,83244,89,0
285,48,26694,46,1
286,47,71264,68,4
287,59,90060,33,0
288,52,112416,1,3
289,24,72545,19,4
290,33,54224,31,2
291,43,117516,80,3
292,65,112945,14,3
293,69,28224,53,1
294,66,55738,48,2
295,19,40150,69,2
296,18,78731,90,4
297,65,64688,62,4
298,29,114929,92,3
299,22,88509,66,0
300,54,23577,64,1
301,49,23070,70,1
302,26,23666,63,1
303,58,72761,73,4
304,52,51368,33,2
305,36,21783,41,1
306,65,56914,89,2
307,33,85507,48,0
308,20,94026,13,0
309,37,82526,73,0
310,41,85835,77,0
311,50,60765,31,4
312,41,34956,75,1
313,69,102895,68,3
314,28,61240,98,4
315,66,52148,4,2
316,25,109270,19,3
317,53,19757,70,1
318,55,34097,98,1
319,57,25395,82,1
320,37,31241,13,1
321,52,118892,23,3
322,65,42696,83,2
323,42,85480,75,0
324,52,61163,1,4
325,42,34816,88,1
326,46,64840,54,4
327,35,117547,71,3
328,63,67853,89,4
329,35,39917,85,2
330,19,111731,15,3
331,52,36566,65,2
332,33,90452,76,0
333,58,77823,71,4
334,53,35806,15,1
335,50,90520,21,0
336,21,16759,19,1
337,50,56949,60,2
