CustomerID,Age,AnnualIncome,SpendingScore
1,56,49674,11
2,69,50854,45
3,46,61271,89
4,32,88688,33
5,60,53518,41
6,25,25267,8
7,38,105825,11
8,56,16062,86
9,36,65448,51
10,40,110462,88
11,28,21229,41
12,28,71793,17
13,41,62915,76
14,53,19632,46
15,57,119592,32
16,41,18596,79
17,20,21168,80
18,39,22561,54
19,19,88794,86
20,41,97152,92
21,61,41734,20
22,47,21371,33
23,55,41069,74
24,19,94905,40
25,38,27910,32
26,50,88479,97
27,29,92735,2
28,39,96264,97
29,61,38275,33
30,42,87274,77
31,66,96449,30
32,44,115776,33
33,59,75004,77
34,45,77981,26
35,33,99659,22
36,32,69553,66
37,64,63447,38
38,68,49529,90
39,61,90703,46
40,69,91090,15
41,20,32260,98
42,54,18812,44
43,68,43024,49
44,24,73656,75
45,38,42285,61
46,26,107436,67
47,56,16605,6
48,35,86158,9
49,21,87303,6
50,42,42139,73
51,31,92149,95
52,67,71138,32
53,26,91125,41
54,43,28918,76
55,19,100655,8
56,37,42446,72
57,45,28046,50
58,64,39818,92
59,24,115894,62
60,61,19324,84
61,25,91323,62
62,64,24111,7
63,52,53110,75
64,31,31389,84
65,34,56427,80
66,53,94579,4
67,67,43746,6
68,57,102886,58
69,21,15117,22
70,19,99471,26
71,23,28234,3
72,59,118864,41
73,21,68441,60
74,46,15846,14
75,35,25954,75
76,43,94239,82
77,61,61514,12
78,51,103236,87
79,27,112579,12
80,53,21469,13
81,31,45105,25
82,48,57101,45
83,65,79323,19
84,32,106922,55
85,25,73067,100
86,31,64376,45
87,40,60587,8
88,57,51976,93
89,38,119587,53
90,33,82584,55
91,62,119537,32
92,35,93477,51
93,64,57533,44
94,41,16828,82
95,43,16917,70
96,42,35618,18
97,62,47254,83
98,58,62362,22
99,46,35128,37
100,32,74383,96
101,62,80545,56
102,18,97180,59
103,42,102958,3
104,24,24865,28
105,26,17219,74
106,41,54809,35
107,18,20287,61
108,61,49387,93
109,25,23512,54
110,41,16342,63
111,28,78076,79
112,68,34216,97
113,34,108070,7
114,25,94767,76
115,52,112829,49
116,52,41614,94
117,50,51258,85
118,22,108789,31
119,59,57078,58
120,56,98524,61
121,58,111573,24
122,45,27219,20
123,24,15235,37
124,26,57929,4
125,25,82444,92
126,29,23567,20
127,51,116834,60
128,50,85792,24
129,65,80441,50
130,40,99555,49
131,41,88698,51
132,54,20415,96
133,52,51159,36
134,61,58925,98
135,57,20951,100
136,39,102388,66
137,44,23007,79
138,52,56832,34
139,18,73596,36
140,52,45523,6
141,54,103861,39
142,64,101740,42
143,31,30524,58
144,20,34282,12
145,18,38930,3
146,22,15077,18
147,43,35611,40
148,31,31984,21
149,56,29060,15
150,44,97985,97
151,26,99056,99
152,32,58303,26
153,32,74207,8
154,43,90046,100
155,59,44287,94
156,30,108709,87
157,68,54711,42
158,49,26954,44
159,56,88340,14
160,66,87101,78
161,69,86520,2
162,49,102062,37
163,21,117974,69
164,47,33574,38
165,54,24184,41
166,40,34096,62
167,56,82728,60
168,62,49016,14
169,32,26246,89
170,60,60558,84
171,46,33381,2
172,53,51455,70
173,30,107263,17
174,49,19018,89
175,24,26302,28
176,68,82506,66
177,39,56157,35
178,45,69917,5
179,19,107738,65
180,59,111646,40
181,62,98122,76
182,23,39519,56
183,45,111809,36
184,45,102487,45
185,61,71819,23
186,61,95910,47
187,37,86324,31
188,47,20408,11
189,28,74379,10
190,45,40053,67
191,42,24446,14
192,56,15922,80
193,50,113723,74
194,18,66356,93
195,44,25789,10
196,69,112720,76
197,30,81656,94
198,58,59028,1
199,20,79484,5
200,56,47154,20
201,23,97870,8
202,25,17336,43
203,44,118677,76
204,26,82779,1
205,54,34029,57
206,50,74201,64
207,68,47265,84
208,59,117916,28
209,61,58872,37
210,41,61197,47
211,32,70180,76
212,49,38710,37
213,49,44486,49
214,41,86907,44
215,58,86895,56
216,69,79435,28
217,66,55631,79
218,66,116532,6
219,69,35103,61
220,29,79772,20
221,56,29382,78
222,19,99291,2
223,20,116195,73
224,66,18756,37
225,54,35609,20
226,66,31478,26
227,34,115978,29
228,66,54666,1
229,19,90683,35
230,19,114097,70
231,45,115420,59
232,40,86315,69
233,54,92834,33
234,49,29153,51
235,50,91325,78
236,18,27999,12
237,36,70318,20
238,19,15814,53
239,61,91077,88
240,43,105474,43
241,49,17443,98
242,23,90993,89
243,49,90916,50
244,21,88319,29
245,28,32368,57
246,34,30328,39
247,55,71942,95
248,41,106751,56
249,22,114131,43
250,69,42306,50
251,51,100451,23
252,23,54915,44
253,39,52219,38
254,28,95879,84
255,65,79644,23
256,33,75279,45
257,50,68028,52
258,26,119263,80
259,23,15126,50
260,33,67329,8
261,46,42632,85
262,20,80310,1
263,37,70176,8
264,53,101066,29
265,36,59327,96
266,43,83904,5
267,20,18797,86
268,36,62882,47
269,37,28718,34
270,49,49560,65
271,24,91589,55
272,69,37116,90
273,58,51244,43
274,50,116721,74
275,57,16645,30
276,56,62523,82
277,35,34256,17
278,57,116376,26
279,18,115158,8
280,28,68173,47
281,45,52430,76
282,42,54282,91
283,67,78374,72
284,40,83244,89
285,48,26694,46
286,47,71264,68
287,59,90060,33
288,52,112416,1
289,24,72545,19
290,33,54224,31
291,43,117516,80
292,65,112945,14
293,69,28224,53
294,66,55738,48
295,19,40150,69
296,18,78731,90
297,65,64688,62
298,29,114929,92
299,22,88509,66
300,54,23577,64
301,49,23070,70
302,26,23666,63
303,58,72761,73
304,52,51368,33
305,36,21783,41
306,65,56914,89
307,33,85507,48
308,20,94026,13
309,37,82526,73
310,41,85835,77
311,50,60765,31
312,41,34956,75
313,69,102895,68
314,28,61240,98
315,66,52148,4
316,25,109270,19
317,53,19757,70
318,55,34097,98
319,57,25395,82
320,37,31241,13
321,52,118892,23
322,65,42696,83
323,42,85480,75
324,52,61163,1
325,42,34816,88
326,46,64840,54
327,35,117547,71
328,63,67853,89
329,35,39917,85
330,19,111731,15
331,52,36566,65
332,33,90452,76
333,58,77823,71
334,53,35806,15
335,50,90520,21
336,21,16759,19
337,50,56949,60
338,31,107374,93
339,38,17482,89
340,65,39442,33
341,37,48719,49
342,25,73066,96
343,24,108501,35
344,20,17079,44
345,34,17717,90
346,50,74676,11
347,65,42952,99
348,29,101444,72
349,68,57460,78
350,39,105397,74
351,39,87847,66
352,63,108607,46
353,47,104106,9
354,55,33449,3
355,55,48536,85
356,62,79077,26
357,68,53258,72
358,25,63302,48
359,44,43865,66
360,44,21645,70
361,51,53000,28
362,38,41737,93
363,47,26485,26
364,50,53565,25
365,45,40522,12
366,64,80155,5
367,50,70168,98
368,22,67487,48
369,65,27342,37
370,36,55806,79
371,21,63770,44
372,52,93623,100
373,66,118177,15
374,34,114785,43
375,61,90629,48
376,45,67603,87
377,47,96974,70
378,46,41399,46
379,63,100382,43
380,23,96244,21
381,52,91534,23
382,58,70106,80
383,54,45678,47
384,41,91218,15
385,46,78230,25
386,66,89055,36
387,63,71373,75
388,48,46480,51
389,52,100230,15
390,50,83836,68
391,69,87258,21
392,38,54986,13
393,49,39160,86
394,40,100595,19
395,50,116358,34
396,20,94111,78
397,35,79929,68
398,42,88506,52
399,59,49911,27
400,48,102127,29
401,20,46821,28
402,57,90039,35
403,63,75535,8
404,41,99458,16
405,67,27175,36
406,49,69771,30
407,64,101925,18
408,39,81358,2
409,40,32327,49
410,19,62057,77
411,44,21150,4
412,59,19425,90
413,19,31032,89
414,43,17198,94
415,34,75500,75
416,57,68394,7
417,50,35079,95
418,26,51220,74
419,60,56874,39
420,65,28859,13
421,56,65460,31
422,46,46419,71
423,59,23705,63
424,43,57880,56
425,52,38236,42
426,67,102955,61
427,42,100514,42
428,41,118145,56
429,30,30358,36
430,24,114713,84
431,53,109914,68
432,62,117870,7
433,37,91918,54
434,18,29596,1
435,25,48572,44
436,63,93757,45
437,33,16279,47
438,31,78197,13
439,29,77516,22
440,68,22083,21
441,40,32771,86
442,32,44975,92
443,45,60648,9
444,51,63285,26
445,19,34063,9
446,49,82642,15
447,40,105093,10
448,39,101143,88
449,68,52599,42
450,42,66920,72
451,39,43529,24
452,39,50954,80
453,66,42856,49
454,69,17573,26
455,59,93344,91
456,23,50367,37
457,32,117337,68
458,60,114608,50
459,54,75774,24
460,50,38752,19
461,25,70029,100
462,61,32685,60
463,61,66693,39
464,22,70961,74
465,56,91908,89
466,21,89532,18
467,23,96994,19
468,62,71133,36
469,49,112425,74
470,69,76268,97
471,47,107201,55
472,64,53243,69
473,52,72384,47
474,57,46653,49
475,69,41657,99
476,33,54952,98
477,30,37180,33
478,67,112432,21
479,59,93411,81
480,47,16622,22
481,36,63756,48
482,34,55809,37
483,36,31725,15
484,45,76396,35
485,43,66226,92
486,54,96182,71
487,43,97565,32
488,40,44402,11
489,26,19263,10
490,29,111523,73
491,18,61828,78
492,18,62924,77
493,64,89182,57
494,51,108065,25
495,49,74052,2
496,65,26664,64
497,42,50737,35
498,57,116332,7
499,62,104563,85
500,18,44373,18
501,33,51397,67
502,56,101145,42
503,22,116371,39
504,39,53709,41
505,46,76120,75
506,20,34250,24
507,29,36172,60
508,43,26555,46
509,33,102410,19
510,68,93617,68
511,54,68276,90
512,39,72492,42
513,46,68002,32
514,31,104599,39
515,45,87355,36
516,22,106248,97
517,64,39762,36
518,66,26046,3
519,47,111999,73
520,63,43769,8
521,69,68302,97
522,22,38150,70
523,29,83247,41
524,33,19853,68
525,43,109613,13
526,43,104399,49
527,65,36792,60
528,38,74129,2
529,56,89478,60
530,53,82298,5
531,50,46987,44
532,47,30850,27
533,54,27112,32
534,40,39058,21
535,27,60420,8
536,22,53890,72
537,53,81017,50
538,51,62304,67
539,69,47921,44
540,48,16524,58
541,27,115424,3
542,36,30048,86
543,49,50111,70
544,18,52904,2
545,22,69912,87
546,62,49008,44
547,21,15060,2
548,33,89666,81
549,41,98559,35
550,33,70337,98
551,19,28350,87
552,66,39354,30
553,45,60186,8
554,49,43145,22
555,44,49020,44
556,37,101123,58
557,41,90186,36
558,29,100469,69
559,67,35581,77
560,52,103929,93
561,50,38051,31
562,50,66474,47
563,68,106748,55
564,60,84626,80
565,54,21960,62
566,29,50772,30
567,20,36520,55
568,18,64481,16
569,50,51408,12
570,57,109006,17
571,27,72134,16
572,60,35491,12
573,61,16341,8
574,46,59623,84
575,30,105327,3
576,29,15338,16
577,48,86431,30
578,63,27254,23
